Protein Id,Id,Gene Symbol,Description
sp|Q6ZQ73|CAND2_MOUSE,186,Cand2,CAND2_MOUSE Cullin-associated NEDD8-dissociated protein 2
sp|Q91VW5|GOGA4_MOUSE,187,Golga4,GOGA4_MOUSE Golgin subfamily A member 4
sp|Q8CBQ5|P4K2B_MOUSE,188,Pi4k2b,P4K2B_MOUSE Phosphatidylinositol 4-kinase type 2-beta
sp|Q9D0F3|LMAN1_MOUSE,189,Lman1,LMAN1_MOUSE Protein ERGIC-53
sp|P97742|CPT1A_MOUSE,190,Cpt1a,"CPT1A_MOUSE Carnitine O-palmitoyltransferase 1, liver isoform"
tr|Q3U821|Q3U821_MOUSE,191,Wdr75,Q3U821_MOUSE Protein Wdr75
sp|Q8BTI8|SRRM2_MOUSE,192,Srrm2,SRRM2_MOUSE Serine/arginine repetitive matrix protein 2
sp|Q8K2B3|SDHA_MOUSE,193,Sdha,"SDHA_MOUSE Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial"
sp|Q71RI9|KAT3_MOUSE,194,Ccbl2,KAT3_MOUSE Kynurenine--oxoglutarate transaminase 3
sp|A2AHC3|CAMP1_MOUSE,195,Camsap1,CAMP1_MOUSE Calmodulin-regulated spectrin-associated protein 1
sp|Q3U2P1|SC24A_MOUSE,196,Sec24a,SC24A_MOUSE Protein transport protein Sec24A
sp|Q62470|ITA3_MOUSE,197,Itga3,ITA3_MOUSE Integrin alpha-3
tr|F8VPK0|F8VPK0_MOUSE,198,Ttc37,F8VPK0_MOUSE Protein Ttc37
sp|Q3UVL4|VPS51_MOUSE,199,Vps51,VPS51_MOUSE Vacuolar protein sorting-associated protein 51 homolog
sp|Q6P9J9|ANO6_MOUSE,200,Ano6,ANO6_MOUSE Anoctamin-6
sp|Q91YR5|MET13_MOUSE,201,Mettl13,MET13_MOUSE Methyltransferase-like protein 13
sp|P47738|ALDH2_MOUSE,202,Aldh2,"ALDH2_MOUSE Aldehyde dehydrogenase, mitochondrial"
sp|Q9CZS1|AL1B1_MOUSE,203,Aldh1b1,"AL1B1_MOUSE Aldehyde dehydrogenase X, mitochondrial"
sp|Q9JHW9|AL1A3_MOUSE,204,Aldh1a3,AL1A3_MOUSE Aldehyde dehydrogenase family 1 member A3
sp|Q62148|AL1A2_MOUSE,205,Aldh1a2,AL1A2_MOUSE Retinal dehydrogenase 2
sp|O35945|AL1A7_MOUSE,206,Aldh1a7,"AL1A7_MOUSE Aldehyde dehydrogenase, cytosolic 1"
sp|P24549|AL1A1_MOUSE,207,Aldh1a1,AL1A1_MOUSE Retinal dehydrogenase 1
sp|Q63829|COMD3_MOUSE,208,Commd3,COMD3_MOUSE COMM domain-containing protein 3
tr|G3X8Z1|G3X8Z1_MOUSE,209,Clca6,G3X8Z1_MOUSE Calcium-activated chloride channel regulator 4
tr|Q3UW98|Q3UW98_MOUSE,210,AI747448,Q3UW98_MOUSE Chloride channel calcium activated 7
sp|Q9Z1M8|RED_MOUSE,211,Ik,RED_MOUSE Protein Red
sp|Q9D8X2|CC124_MOUSE,212,Ccdc124,CC124_MOUSE Coiled-coil domain-containing protein 124
sp|Q5NBX1|COBL_MOUSE,213,Cobl,COBL_MOUSE Protein cordon-bleu
sp|Q64674|SPEE_MOUSE,214,Srm,SPEE_MOUSE Spermidine synthase
sp|Q3UQ44|IQGA2_MOUSE,215,Iqgap2,IQGA2_MOUSE Ras GTPase-activating-like protein IQGAP2
sp|Q9JKF1|IQGA1_MOUSE,216,Iqgap1,IQGA1_MOUSE Ras GTPase-activating-like protein IQGAP1
tr|F8VQ29|F8VQ29_MOUSE,217,Iqgap3,F8VQ29_MOUSE Protein Iqgap3
sp|Q99JR8|SMRD2_MOUSE,218,Smarcd2,SMRD2_MOUSE SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2
sp|Q61466|SMRD1_MOUSE,219,Smarcd1,SMRD1_MOUSE SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1
sp|Q8BK67|RCC2_MOUSE,220,Rcc2,RCC2_MOUSE Protein RCC2
sp|O09172|GSH0_MOUSE,221,Gclm,GSH0_MOUSE Glutamate--cysteine ligase regulatory subunit
sp|P52760|UK114_MOUSE,222,Hrsp12,UK114_MOUSE Ribonuclease UK114
sp|Q91YP3|DEOC_MOUSE,223,Dera,DEOC_MOUSE Putative deoxyribose-phosphate aldolase
tr|F8VQC7|F8VQC7_MOUSE,224,Ktn1,F8VQC7_MOUSE Kinectin
sp|Q61595-13|KTN1_MOUSE,225,Ktn1,KTN1_MOUSE Isoform 13 of Kinectin
sp|Q8BZA9|TIGAR_MOUSE,226,Tigar,"TIGAR_MOUSE Fructose-2,6-bisphosphatase TIGAR"
sp|P57746|VATD_MOUSE,227,Atp6v1d,VATD_MOUSE V-type proton ATPase subunit D
sp|P48678|LMNA_MOUSE,228,Lmna,LMNA_MOUSE Prelamin-A/C
sp|Q8BZF8|PGM5_MOUSE,229,Pgm5,PGM5_MOUSE Phosphoglucomutase-like protein 5
sp|Q9D0F9|PGM1_MOUSE,230,Pgm1,PGM1_MOUSE Phosphoglucomutase-1
sp|Q8C079|STRP1_MOUSE,231,Strip1,STRP1_MOUSE Striatin-interacting protein 1
sp|Q9D279|MISP_MOUSE,232,Misp,MISP_MOUSE Mitotic interactor and substrate of PLK1
